"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\08 Cost Control","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\08 Cost Control","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\08 Cost Control","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\08 Cost Control","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\08 Cost Control","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\09 Accounting","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\09 Accounting","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\09 Accounting","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\09 Accounting","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\09 Accounting","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\10 Jobsite Equipment and Small Tool","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\10 Jobsite Equipment and Small Tool","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\10 Jobsite Equipment and Small Tool","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\10 Jobsite Equipment and Small Tool","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\10 Jobsite Equipment and Small Tool","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\11 Safety","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\11 Safety","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\11 Safety","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\11 Safety","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\11 Safety","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\12 Insurance","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\12 Insurance","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\12 Insurance","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\12 Insurance","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\12 Insurance","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\13 Bonds","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\13 Bonds","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\13 Bonds","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\13 Bonds","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\13 Bonds","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\14 Program Management","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\14 Program Management","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\14 Program Management","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\14 Program Management","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\14 Program Management","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\15 Project Closeout","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\15 Project Closeout","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\15 Project Closeout","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\15 Project Closeout","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\15 Project Closeout","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\16 Design Build - In-house Design","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\16 Design Build - In-house Design","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\16 Design Build - In-house Design","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\16 Design Build - In-house Design","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\16 Design Build - In-house Design","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
