"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\American Flooring Company (AFC)","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\American Flooring Company (AFC)","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\American Flooring Company (AFC)","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\American Flooring Company (AFC)","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\American Flooring Company (AFC)","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Architectural Glass & Metal","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Architectural Glass & Metal","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Architectural Glass & Metal","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Architectural Glass & Metal","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Architectural Glass & Metal","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\B&E Painting","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\B&E Painting","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\B&E Painting","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\B&E Painting","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\B&E Painting","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Birk Plumbing","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Birk Plumbing","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Birk Plumbing","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Birk Plumbing","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Birk Plumbing","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Botti Studio","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Botti Studio","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Botti Studio","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\Botti Studio","BUILTIN\Administrators","Allow","FullControl","True"
